,link,distance,price
20,https://www.vrbo.com/2268709?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211299&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=129&top_cur=USD&userIntent=&selectedRoomType=66499086&selectedRatePlan=0004e4654934df65429d865a7b2e91b04092&expediaPropertyId=66499086,9.23,$129
36,https://www.vrbo.com/2268509?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211310&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=595&top_cur=USD&userIntent=&selectedRoomType=66495294&selectedRatePlan=000468fd5b1c3fd645ffa062897898aa5653&expediaPropertyId=66495294,9.24,$595
4,https://www.vrbo.com/2267666?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211288&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=175&top_cur=USD&userIntent=&selectedRoomType=66487646&selectedRatePlan=0004d95318ab8a5b461b8ac7e9fb40c071fb&expediaPropertyId=66487646,9.24,$175
32,https://www.vrbo.com/9599497ha?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211307&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=110&top_cur=USD&userIntent=&selectedRoomType=70326179&selectedRatePlan=0000df617e902c154d639e83742c07eb3b96&expediaPropertyId=70326179,9.77,$110
41,https://www.vrbo.com/9704923ha?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211314&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=110&top_cur=USD&userIntent=&selectedRoomType=82932293&selectedRatePlan=00009c731d9bd40e42a9a83d7e62b9fcf8df&expediaPropertyId=82932293,10.08,$110
16,https://www.vrbo.com/2930059?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211297&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=98&top_cur=USD&userIntent=&selectedRoomType=83408543&selectedRatePlan=00041a24ac92d4644e71a08568e4fd299417&expediaPropertyId=83408543,10.62,$98
21,https://www.vrbo.com/2621945?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211300&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=250&top_cur=USD&userIntent=&selectedRoomType=74605984&selectedRatePlan=0004675f68ce218e4defaaca06c251a9f398&expediaPropertyId=74605984,12.3,$250
38,https://www.vrbo.com/2940994?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211312&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=410&top_cur=USD&userIntent=&selectedRoomType=83519381&selectedRatePlan=0004c7df704ec876419ca93bec7e6daa944e&expediaPropertyId=83519381,12.5,$410
10,https://www.vrbo.com/115400?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211293&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=175&top_cur=USD&userIntent=&selectedRoomType=33502518&selectedRatePlan=000462f16e675db84d4fa51618e5420ccf5c&expediaPropertyId=33502518,13.07,$175
6,https://www.vrbo.com/3396090?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211288&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=160&top_cur=USD&userIntent=&selectedRoomType=93514991&selectedRatePlan=0004321b3ab51b0e428c90555a20c819f3be&expediaPropertyId=93514991,13.13,$160
18,https://www.vrbo.com/918864?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211298&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=110&top_cur=USD&userIntent=&selectedRoomType=34977903&selectedRatePlan=0004f7c296202a104bd1915e86f4d8e72c89&expediaPropertyId=34977903,13.53,$110
40,https://www.vrbo.com/1118992?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211314&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=110&top_cur=USD&userIntent=&selectedRoomType=34338485&selectedRatePlan=0004ec60c54f35824b1ab2bc3e57efb3ea3c&expediaPropertyId=34338485,13.53,$110
26,https://www.vrbo.com/798979?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211305&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=199&top_cur=USD&userIntent=&selectedRoomType=33947048&selectedRatePlan=000402d8739dae034b0bac5a597151db52b5&expediaPropertyId=33947048,13.53,$199
8,https://www.vrbo.com/3353513?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211292&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=165&top_cur=USD&userIntent=&selectedRoomType=92882482&selectedRatePlan=0004d63026f1e78c4de58cda5714650b5064&expediaPropertyId=92882482,14.46,$165
2,https://www.vrbo.com/977871?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211288&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=143&top_cur=USD&userIntent=&selectedRoomType=30326319&selectedRatePlan=000441aa83e3c2274a73859ea4b6d6c89851&expediaPropertyId=30326319,15.14,$143
17,https://www.vrbo.com/9174931ha?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211297&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=125&top_cur=USD&userIntent=&selectedRoomType=76626645&selectedRatePlan=000090ee721f5ce74496b4378d8ac120f95e&expediaPropertyId=76626645,16.37,$125
19,https://www.vrbo.com/3254818?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211298&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=125&top_cur=USD&userIntent=&selectedRoomType=91312516&selectedRatePlan=0004f9b87f16a38f4c19bceedbd732018fb0&expediaPropertyId=91312516,16.37,$125
12,https://www.vrbo.com/2725711?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211293&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=125&top_cur=USD&userIntent=&selectedRoomType=76627019&selectedRatePlan=0004e9dcf89cef06488abff026d82e35ba93&expediaPropertyId=76627019,16.37,$125
33,https://www.vrbo.com/2673148?chkin=2023-12-14&chkout=2023-12-15&d1=2023-12-14&d2=2023-12-15&startDate=2023-12-14&endDate=2023-12-15&x_pwa=1&rfrr=HSR&pwa_ts=1700759211308&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=183660&destination=Delhi%2C+New+York%2C+United+States+of+America&destType=MARKET&latLong=42.278141%2C-74.915993&privacyTrackingState=CAN_TRACK&searchId=22050452-4c81-499e-bb8c-307d9b7931a9&sort=RECOMMENDED&top_dp=250&top_cur=USD&userIntent=&selectedRoomType=75790021&selectedRatePlan=0004d4aaa844aaa046a3b935a42da170fc8a&expediaPropertyId=75790021,16.42,$250
